Id,SalePrice
1461,124000
1462,158000
1463,191000
1464,185500
1465,193000
1466,177000
1467,175000
1468,168000
1469,178500
1470,116500
1471,198000
1472,97500
1473,104000
1474,150500
1475,126500
1476,357000
1477,256000
1478,299500
1479,215000
1480,500000
1481,302500
1482,200000
1483,168000
1484,168000
1485,170500
1486,199500
1487,325000
1488,231500
1489,209500
1490,197500
1491,183000
1492,88000
1493,191500
1494,290500
1495,296000
1496,225500
1497,171000
1498,158000
1499,157500
1500,143500
1501,170000
1502,147500
1503,305500
1504,221500
1505,223500
1506,169000
1507,249000
1508,204500
1509,162500
1510,149500
1511,141500
1512,159000
1513,142500
1514,177500
1515,188000
1516,173500
1517,154000
1518,118000
1519,219500
1520,130500
1521,144500
1522,175000
1523,103500
1524,108500
1525,126500
1526,133000
1527,88500
1528,135500
1529,141500
1530,165500
1531,103500
1532,107500
1533,135500
1534,122500
1535,159500
1536,102500
1537,86500
1538,202500
1539,205500
1540,118000
1541,165500
1542,152000
1543,247000
1544,78000
1545,105000
1546,126500
1547,140000
1548,130000
1549,113500
1550,152500
1551,113500
1552,131000
1553,156500
1554,105000
1555,191000
1556,113500
1557,117000
1558,99500
1559,123000
1560,132000
1561,147000
1562,126500
1563,122500
1564,151000
1565,148000
1566,218500
1567,72500
1568,232500
1569,147000
1570,119000
1571,126000
1572,150500
1573,251500
1574,119500
1575,204500
1576,230000
1577,204500
1578,154500
1579,145000
1580,196500
1581,144000
1582,126000
1583,353500
1584,236000
1585,141000
1586,72500
1587,87500
1588,137500
1589,107000
1590,132500
1591,95500
1592,117000
1593,117500
1594,136000
1595,130000
1596,234500
1597,183000
1598,199000
1599,189000
1600,182000
1601,59000
1602,121000
1603,88500
1604,275000
1605,243000
1606,165500
1607,169000
1608,212000
1609,192000
1610,166000
1611,146500
1612,155000
1613,152000
1614,121000
1615,81000
1616,75000
1617,86500
1618,130000
1619,144000
1620,178000
1621,143000
1622,144500
1623,314000
1624,222000
1625,132500
1626,175000
1627,191500
1628,282000
1629,184000
1630,363000
1631,227000
1632,250000
1633,166000
1634,191500
1635,178500
1636,155000
1637,173500
1638,198500
1639,181000
1640,256500
1641,183500
1642,211000
1643,208000
1644,218500
1645,191500
1646,161000
1647,161500
1648,131500
1649,139000
1650,120000
1651,127000
1652,91500
1653,88500
1654,154500
1655,146500
1656,151500
1657,154000
1658,149500
1659,132000
1660,149500
1661,492000
1662,419000
1663,395500
1664,407000
1665,317000
1666,318000
1667,353500
1668,342000
1669,292500
1670,351500
1671,264000
1672,492500
1673,300500
1674,241000
1675,187000
1676,191000
1677,239500
1678,441500
1679,379500
1680,322500
1681,264500
1682,295000
1683,174000
1684,168000
1685,175500
1686,164500
1687,165500
1688,189500
1689,187500
1690,186500
1691,172500
1692,257000
1693,167500
1694,184000
1695,168500
1696,282000
1697,168500
1698,414500
1699,321000
1700,240500
1701,252500
1702,269000
1703,251500
1704,325500
1705,236000
1706,466500
1707,227000
1708,216500
1709,278000
1710,211000
1711,259500
1712,215000
1713,254000
1714,218000
1715,205500
1716,193000
1717,178000
1718,142000
1719,202000
1720,258000
1721,164500
1722,128500
1723,157500
1724,217000
1725,216500
1726,188000
1727,164000
1728,185500
1729,171500
1730,155000
1731,118500
1732,129500
1733,119000
1734,127000
1735,132500
1736,108500
1737,336000
